Timestamp_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
331222,0.12,-0.80,-0.59,-1.59,0.49,-0.18
331327,0.13,-0.80,-0.58,-0.55,0.12,-0.43
331432,0.11,-0.85,-0.51,121.03,-8.36,-17.76
331539,0.14,-0.87,-0.47,30.88,-3.11,-6.84
331645,0.14,-0.88,-0.45,1.83,1.65,0.49
331750,0.14,-0.79,-0.45,-0.55,3.17,-4.64
331855,0.06,-1.31,-0.45,11.05,-15.56,74.16
331961,-0.13,-0.93,-0.59,31.80,-58.96,102.60
332066,-0.16,-0.60,-0.39,-51.21,-178.89,-8.54
332172,-0.54,-1.26,-0.41,33.69,-181.88,50.48
332279,-0.36,-0.89,-0.29,136.11,-90.70,313.54
332385,-0.24,2.08,1.12,-26.06,128.23,-154.48
332492,-0.17,-3.65,-0.23,148.56,38.39,-225.16
332598,-0.61,-0.72,-0.83,-40.77,-125.06,331.05
332704,-0.01,1.57,2.11,-73.24,216.61,-267.58
332810,-0.02,-3.68,-0.20,-17.76,14.34,-23.25
332915,-0.73,-0.62,-0.85,58.96,-80.14,235.60
333020,-0.50,2.00,1.89,-17.58,46.69,-163.21
333127,-0.20,-2.41,-0.75,-21.36,57.74,-171.75
333232,-0.74,-1.23,-0.71,19.10,-29.85,220.64
333339,-0.44,1.54,0.60,-4.70,-103.21,73.49
333444,-0.05,-0.36,-0.27,21.61,203.67,-279.72
333551,-0.80,-2.29,-0.54,-57.86,-54.50,212.59
333656,-0.31,0.04,-0.07,-46.75,-150.45,220.89
333763,-0.25,0.18,1.74,-261.11,152.77,3.42
333868,-1.05,-0.88,-2.00,199.22,217.59,-126.22
333975,-0.78,-1.12,-0.07,97.17,-73.67,52.55
334079,-0.48,0.17,0.49,-18.86,-114.81,116.94
334183,-0.66,0.51,1.23,-264.40,-42.72,58.84
334288,-0.89,-0.37,-0.87,-261.47,104.31,-100.34
334394,-1.02,-1.89,-0.98,195.01,-82.21,-5.25
334499,0.10,0.14,0.85,-70.31,-202.33,105.41
334605,0.20,-0.52,0.74,53.77,253.17,-1.77
334710,-2.39,-0.76,-1.98,101.62,-1.53,-15.32
334814,-0.49,-0.11,-0.01,-7.81,-212.52,-35.03
334919,0.54,-0.73,1.79,-126.28,25.63,50.90
335025,-1.27,0.37,-1.85,33.08,219.73,74.89
335130,-1.47,0.14,-0.46,-69.03,-153.14,-121.70
335234,-0.22,-0.48,0.48,-98.51,30.58,-22.03
335339,-0.39,-0.45,0.05,-36.62,189.15,69.58
335443,-0.98,0.13,-0.57,-392.76,-260.50,31.56
335548,-1.06,-0.23,-0.50,-44.56,-13.85,92.59
335652,-0.91,-0.25,-0.38,132.51,50.17,-86.55
335756,-1.03,-0.41,-0.40,274.11,49.50,-198.49
335861,-0.51,-0.04,-0.47,-328.49,-32.71,230.83
