Timestamp_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
181298,0.24,-0.13,0.37,-17.52,-7.02,27.95
181403,0.53,-0.29,0.82,-0.12,0.06,-0.31
181508,0.53,-0.28,0.82,-0.24,0.61,-0.06
181612,0.53,-0.30,0.82,0.12,0.85,-1.34
181717,0.53,-0.27,0.82,-0.85,0.98,-1.16
181822,0.53,-0.29,0.81,-1.46,0.12,-0.73
181927,0.53,-0.29,0.82,1.40,0.55,-1.95
182032,0.54,-0.29,0.82,-3.91,0.00,0.67
182137,0.53,-0.29,0.82,8.06,-2.01,-2.14
182243,0.55,-0.25,0.81,2.38,-0.79,-4.33
182348,0.54,-0.31,0.80,-8.24,-11.84,4.64
182453,0.55,-0.30,0.85,-10.68,-1.22,14.22
182558,0.55,-0.36,0.84,-7.45,9.16,18.92
182665,0.49,-0.31,0.83,38.27,21.48,10.25
182769,0.49,-0.30,0.89,-1.89,32.65,12.51
182874,0.33,-0.23,1.03,51.88,81.97,17.03
182979,0.20,-0.02,0.95,61.16,62.19,9.89
183085,0.12,-0.13,0.90,-62.50,28.81,-34.12
183190,0.11,-0.29,0.97,-49.74,-18.01,-8.30
183294,0.14,-0.35,1.01,-12.63,-5.00,-5.37
183399,0.12,-0.43,0.93,7.45,7.51,3.23
183506,0.14,-0.10,0.92,210.27,-10.01,17.52
183611,0.13,0.12,0.92,-12.39,-4.46,-12.08
183716,0.14,-0.21,1.03,-114.62,0.79,-5.07
183821,0.12,-0.22,0.99,72.20,2.56,14.47
183926,0.12,0.06,0.97,138.12,-8.42,7.08
184031,0.13,0.16,0.97,11.29,-0.49,-1.10
184136,0.11,0.12,0.96,-128.36,7.45,-13.73
184241,0.10,-0.34,0.96,-136.47,8.73,-1.71
184346,0.10,-0.30,0.97,94.85,-11.29,3.23
184451,0.13,-0.03,1.01,165.16,-12.57,5.07
184556,0.11,0.12,0.99,-68.18,4.94,-6.23
184662,0.11,-0.27,1.00,-122.74,9.89,1.59
184769,0.11,-0.39,0.95,34.91,-2.81,1.83
184875,0.10,0.09,0.94,203.12,-21.79,-0.43
184981,0.12,0.15,0.94,-205.69,16.05,-10.25
185087,0.11,-0.22,1.01,-136.17,13.12,-0.43
185194,0.09,-0.36,0.97,51.82,-4.88,2.38
185298,0.10,0.10,0.95,115.84,-11.41,-2.75
185405,0.10,0.15,1.00,-84.78,16.85,-3.11
185510,0.10,-0.12,1.02,-117.92,13.18,0.49
185616,0.09,-0.36,0.96,-26.06,2.20,-2.01
