Timestamp_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
452551,-0.01,-0.45,-0.89,-2.20,-0.06,-0.06
452657,-0.01,-0.54,-0.79,108.52,-5.07,-22.16
452762,0.01,-0.55,-0.83,11.35,-1.16,-3.42
452867,-0.00,-0.58,-0.82,18.74,-3.85,-5.00
452972,0.00,-0.42,-0.95,57.19,13.61,19.65
453077,0.02,-0.84,-0.47,456.91,-16.17,-29.36
453184,0.04,-0.99,0.08,112.67,14.65,-5.19
453288,0.05,-0.99,0.21,4.46,24.23,6.96
453393,0.02,-1.00,0.20,-13.55,3.17,-0.31
453498,-0.00,-1.03,0.19,57.74,24.29,21.36
453604,0.07,-0.83,0.05,-23.68,-5.31,-10.38
453710,0.02,-1.00,0.18,-4.64,1.16,0.37
453816,0.03,-0.98,0.17,2.44,2.50,-0.31
453921,0.02,-1.00,0.34,-61.89,9.46,-3.05
454027,0.02,-0.98,0.15,-9.70,-6.47,-1.16
454132,0.02,-0.99,0.16,-6.16,3.36,0.98
454238,0.01,-0.89,-0.00,236.76,-67.99,15.81
454343,-0.00,-0.95,0.15,-15.08,-5.37,-6.04
454450,0.01,-0.99,0.16,-3.78,-1.28,-0.24
454554,0.01,-1.01,0.18,-4.39,1.28,0.00
454658,-0.01,-0.99,0.14,19.41,11.35,7.69
454763,-0.02,-0.99,0.16,-5.37,-3.85,-3.85
454868,-0.00,-0.99,0.15,-3.66,3.66,1.71
454973,0.02,-0.92,0.20,189.70,-81.54,10.50
455078,-0.01,-0.97,0.14,-12.76,-7.75,-12.08
455184,0.01,-0.99,0.10,-9.16,-4.21,-4.52
455288,0.01,-0.99,0.11,4.82,-0.12,-0.43
455393,-0.01,-1.03,0.23,-42.54,-2.50,-3.97
455499,-0.00,-0.99,0.12,-5.43,-4.27,-1.46
455604,-0.00,-1.00,0.12,-0.24,1.65,0.06
455709,0.01,-0.94,0.09,12.33,8.18,6.04
455813,-0.02,-0.96,0.13,-10.74,-7.93,-9.03
455919,-0.00,-0.99,0.11,-6.29,-1.16,0.37
456025,-0.01,-1.01,0.13,-0.43,2.08,0.98
456131,-0.01,-0.98,0.11,7.63,13.92,7.51
456235,-0.01,-0.97,0.13,-5.92,-10.80,-8.24
456341,-0.00,-0.99,0.12,-2.81,4.58,1.95
456445,-0.01,-0.99,0.13,-4.64,0.18,1.28
456550,-0.01,-1.01,0.18,6.23,0.06,-2.50
456655,-0.01,-0.99,0.13,-2.81,-3.17,-2.69
456760,-0.01,-1.00,0.13,-0.85,1.95,0.49
456865,-0.01,-0.98,0.11,2.01,4.70,2.69
456969,-0.01,-0.98,0.13,-2.08,-4.46,-4.64
457074,-0.00,-1.00,0.12,-3.66,1.95,0.98
457179,-0.01,-0.98,0.11,0.37,2.69,1.77
457284,-0.02,-1.01,0.12,-6.47,-5.25,-5.31
457389,-0.00,-0.98,0.11,-1.89,-1.77,-0.85
457494,-0.01,-1.01,0.13,0.85,-0.85,-0.98
457599,0.04,-0.87,-0.17,32.41,-0.49,6.41
457704,-0.02,-0.99,0.13,-2.50,-4.39,-5.13
457810,-0.01,-1.00,0.12,-2.75,2.44,1.40
457915,-0.02,-1.01,0.13,-2.81,0.73,0.43
458021,-0.03,-0.99,0.04,9.70,4.94,12.88
458126,-0.02,-1.00,0.10,-1.10,-5.92,-6.47
458231,-0.02,-1.01,0.10,0.06,2.50,0.00
458337,-0.02,-1.01,0.10,-3.72,0.67,0.37
458441,-0.09,-1.10,0.25,-31.56,26.18,8.42
458546,-0.02,-1.01,0.10,-4.39,-3.23,-4.27
458653,-0.01,-1.01,0.08,-1.59,4.39,1.22
458758,-0.01,-0.98,0.08,-0.79,12.76,1.16
458864,0.11,-0.76,-0.37,62.87,-13.85,2.81
458969,0.01,-0.95,0.07,-10.13,-5.62,-3.48
459074,-0.04,-1.01,0.08,-5.98,0.55,0.31
459179,-0.02,-1.01,0.06,-3.78,-5.43,-1.53
459285,-0.06,-1.07,0.10,-44.43,48.16,21.42
459390,-0.04,-0.99,0.08,-7.69,-6.90,-4.82
459497,-0.02,-1.00,0.06,-2.81,0.73,-0.67
459601,-0.03,-1.00,0.07,-4.33,-0.61,-0.18
459706,-0.00,-0.95,0.53,-62.19,43.64,10.44
459811,-0.03,-0.99,0.07,-8.48,-3.30,-3.66
459917,-0.03,-1.00,0.05,-4.33,1.95,0.55
460022,-0.03,-1.00,0.06,-4.64,0.79,0.49
460129,-0.08,-1.15,0.36,-104.98,61.04,11.05
460233,-0.03,-1.01,0.08,-2.01,-1.10,-2.62
460338,-0.03,-1.01,0.07,3.17,2.14,-0.61
460443,-0.03,-1.01,0.07,0.43,-0.37,-0.92
460549,-0.03,-1.01,0.07,1.16,0.31,-0.43
460654,-0.03,-1.00,0.07,-2.08,0.67,0.55
460759,-0.03,-0.99,0.05,-4.03,1.83,-0.61
460864,-0.05,-1.01,0.10,6.23,-2.69,-1.95
460969,-0.03,-1.00,0.07,0.92,-2.20,-2.50
461074,-0.03,-1.01,0.07,-0.12,1.22,0.18
461179,0.01,-0.88,-0.12,118.59,-33.69,3.78
461284,-0.04,-0.99,0.07,-2.87,0.00,-2.01
461389,-0.03,-1.00,0.07,-1.83,1.04,0.31
461494,-0.04,-1.01,0.07,-3.66,-0.55,-0.79
461599,-0.04,-1.02,0.10,4.76,-3.05,-2.14
461704,-0.03,-1.00,0.07,-2.44,-0.92,-1.40
461809,-0.03,-1.01,0.07,1.28,1.71,-0.18
461913,-0.04,-1.01,0.07,-1.46,2.32,0.12
