Timestamp_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
400178,0.08,-0.53,-0.84,-1.95,-1.34,-0.06
400283,0.05,-0.44,-0.79,-15.20,4.09,-12.82
400389,0.04,-0.47,-0.90,-35.58,-3.97,-3.30
400496,0.04,-0.43,-0.93,5.07,-3.78,-2.20
400603,0.03,-0.35,-0.94,-21.91,-1.77,-0.79
400708,0.02,-0.55,-0.93,146.79,15.99,6.71
400812,0.04,-0.71,-0.74,-54.87,-31.37,-14.22
400916,0.02,-0.60,-0.90,37.29,-36.25,0.24
401023,-0.18,-0.59,-0.91,-35.34,-67.93,32.23
401128,-0.04,-0.32,-0.51,-82.95,23.32,8.42
401234,-0.30,-0.41,-1.28,-36.19,0.37,-18.92
401339,-0.21,-0.32,-0.90,9.70,-45.23,20.63
401444,-0.02,-0.21,-0.55,44.31,27.89,23.07
401550,-0.14,-0.06,-0.76,829.10,56.88,-80.57
401657,-0.01,-0.21,-0.93,101.14,24.84,7.81
401762,0.03,-0.34,-0.84,-311.28,25.09,44.19
401868,0.05,-0.59,-0.91,122.25,13.00,-8.61
401974,-0.00,-0.68,-0.75,61.65,-9.89,-11.23
402081,-0.05,-0.84,-0.61,200.56,-16.05,-7.63
402188,-0.04,-1.02,-0.35,-0.43,61.46,28.99
402294,-0.01,-0.55,-0.42,-218.51,-16.72,-47.49
402399,-0.02,-1.62,-0.39,-203.74,25.63,48.52
402506,0.01,-0.83,-0.58,121.58,3.66,-30.33
402611,0.06,-0.75,-0.60,40.59,-4.58,73.36
402718,0.09,-0.48,-0.41,-115.23,-28.08,-6.23
402824,-0.23,-0.70,-1.03,-120.12,5.19,-20.32
402929,-0.07,-0.80,-0.53,186.65,5.55,-56.82
403035,0.03,-0.90,-0.62,0.49,-3.91,19.47
403141,0.04,-0.51,-0.49,-23.99,-142.76,76.23
403246,0.17,-0.45,-1.00,23.44,148.62,-111.15
403352,0.00,-0.48,-0.71,29.30,-21.30,21.18
403458,-0.02,-0.55,-0.87,-12.45,-6.16,2.38
403565,-0.05,-0.55,-0.81,8.24,-15.63,14.04
403670,-0.07,-0.59,-0.83,1.34,-6.16,6.23
403776,0.06,-0.45,-0.53,1.46,7.45,-18.92
403882,-0.05,-0.72,-1.02,90.76,53.34,-8.12
403988,0.09,-0.56,-0.87,-106.81,-66.59,36.07
404093,-0.06,-0.57,-0.95,-38.64,-18.37,13.67
404200,-0.03,-0.33,-0.69,25.02,-23.93,-21.85
404305,-0.08,-1.15,-1.12,-139.28,8.91,41.32
404412,-0.12,-0.49,-0.85,21.48,24.90,8.18
404517,-0.09,-0.57,-0.84,33.63,-61.40,2.14
404624,-0.12,-0.56,-0.66,40.22,-27.28,12.70
404728,0.01,-0.33,-0.32,50.54,93.26,-99.18
404834,-0.01,-0.78,-0.88,74.34,-31.74,24.60
404939,-0.03,-0.66,-0.62,17.64,-7.87,3.78
405046,-0.12,-0.80,-0.72,21.67,-11.47,17.15
